日付時刻,MACアドレス,ユーザーネーム,赤色情報,黄色情報,緑色情報,青色情報,白色情報
2017/04/28 12:17:20,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 12:18:07,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 12:19:03,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,0,9,0
2017/04/28 12:19:07,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 12:19:15,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 12:19:19,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 12:19:35,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 12:19:56,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 12:20:02,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 12:21:37,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 12:23:45,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 12:23:54,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 12:24:51,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 12:24:56,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 12:25:25,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 12:25:30,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 12:25:56,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 12:26:03,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 12:26:27,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 12:27:04,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 12:38:40,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 12:38:53,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 12:40:31,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 12:40:38,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 12:42:16,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 12:44:08,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 12:44:08,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 12:44:15,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 12:46:02,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 12:46:10,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 12:46:23,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,0,0,0
2017/04/28 12:46:23,58C232FFFE576733,ﾐﾆFA-ﾊﾟﾈﾙﾍﾞﾝﾀﾞIN,0,0,0,0,0
2017/04/28 12:47:52,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 12:48:17,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 12:50:06,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 12:50:25,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 12:52:06,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 12:53:40,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 12:55:47,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,0
2017/04/28 12:55:47,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 12:55:53,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 12:57:38,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 13:01:34,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,0
2017/04/28 13:01:34,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 13:01:47,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 13:03:04,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 13:03:13,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 13:03:34,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 13:03:54,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 13:07:39,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 13:10:21,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 13:10:36,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 13:10:41,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 13:12:29,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 13:14:58,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 13:15:01,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 13:15:05,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 13:17:25,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 13:19:57,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 13:21:18,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,1,0,1,9,0
2017/04/28 13:21:19,58C232FFFE57673C,ﾐﾆFA-ﾀﾚﾊﾟﾝIN,1,0,0,9,0
2017/04/28 13:21:19,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,1,1,0,9,0
2017/04/28 13:21:48,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,0
2017/04/28 13:21:48,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 13:21:52,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 13:23:12,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 13:23:12,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 13:23:12,58C232FFFE57673C,ﾐﾆFA-ﾀﾚﾊﾟﾝIN,0,0,0,9,0
2017/04/28 13:23:57,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,0
2017/04/28 13:23:57,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 13:24:03,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 13:24:58,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 13:25:03,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 13:25:39,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 13:25:49,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 13:26:12,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 13:26:26,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 13:26:30,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 13:27:29,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 13:28:33,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 13:32:36,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 13:32:47,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,0
2017/04/28 13:32:47,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 13:33:08,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 13:34:15,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 13:35:43,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 13:35:51,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 13:36:15,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
